rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
5,150,1.39,pre_score_z,0.447422892752075,0.12038185115302572,0.21448048175000003,0.6822685607499999
5,200,0.15,Intercept,0.603711347384145,0.4862446411363341,-0.35090720025,1.5693802724999992
5,200,0.15,groupembodied,0.07761767523411675,0.20910703876031686,-0.33546923074999996,0.4840825874999997
5,200,0.15,pre_score_z,0.14339432601743451,0.09926822659829496,-0.05141161555,0.33675547825
5,200,0.4,Intercept,-0.06964262803802126,0.6433844591622507,-1.3338191074999999,1.2200152374999986
5,200,0.4,groupembodied,0.398430400959095,0.22682877578129412,-0.06306241622499999,0.8393617529999998
5,200,0.4,pre_score_z,0.3737174121442475,0.11675219675864927,0.15367747,0.6015910639999998
5,200,0.87,Intercept,-0.15322965687648377,0.4582310801906005,-1.0588000725000002,0.7427310239999991
5,200,0.87,groupembodied,1.0944800483725,0.2282570816025167,0.64512609825,1.5444613649999999
5,200,0.87,pre_score_z,0.382203773566,0.1074818732104039,0.17515004374999998,0.5962295907499998
5,200,1.39,Intercept,-0.2507298954561054,0.3886328280852267,-1.0579593925,0.5072666559999996
5,200,1.39,groupembodied,1.21875360286,0.224306683645191,0.76638568925,1.6522827299999996
5,200,1.39,pre_score_z,0.128278147568755,0.08766214389180721,-0.045597848600000004,0.30035091099999994
6,100,0.15,Intercept,-0.9417926573815056,0.7249435928480353,-2.36970849,0.5053542484999991
6,100,0.15,groupembodied,0.03478205915969089,0.30082125521132164,-0.56163578575,0.6350396415
6,100,0.15,pre_score_z,0.2960553195509625,0.13096037044384054,0.043477799075,0.560534937
6,100,0.4,Intercept,-0.023267235183751248,0.4756297438825754,-0.973824912,0.9150095544999992
6,100,0.4,groupembodied,0.4103800868052145,0.28343559864918316,-0.142058955,0.9666376939999998
6,100,0.4,pre_score_z,0.311587402557545,0.1470287702981481,0.029310864175000007,0.6109993452499999
6,100,0.87,Intercept,-0.5934840989693437,0.39481799181917493,-1.3596994475,0.19015657299999966
6,100,0.87,groupembodied,0.49762309684482237,0.2546922733466187,-0.008704542654999993,1.0085750724999998
6,100,0.87,pre_score_z,0.2530784990799175,0.13070418483330284,-0.0021071919949999965,0.5196560652499999
6,100,1.39,Intercept,-0.4345700499810818,0.5299551257692156,-1.494292335,0.6255283632499998
6,100,1.39,groupembodied,1.289306268067625,0.2990722607533189,0.6901965565000001,1.8684218624999998
6,100,1.39,pre_score_z,0.19403561900007463,0.12144166474297845,-0.04264381872499999,0.4371968572499999
6,150,0.15,Intercept,-0.8798621971374487,0.625668604468314,-2.1175881175,0.3691544839999998
6,150,0.15,groupembodied,0.2903322033125758,0.27713823028886225,-0.26127556949999997,0.8393482084999997
6,150,0.15,pre_score_z,0.5483369347659875,0.12574701506253172,0.30723633325,0.80005500925
6,150,0.4,Intercept,-0.07276976344730461,0.32501271057065506,-0.7231722302499999,0.57739214825
6,150,0.4,groupembodied,0.30056053387338816,0.2787726960387066,-0.24424743624999998,0.8582600942499998
6,150,0.4,pre_score_z,0.12203622031938938,0.12317923087860903,-0.11909555449999999,0.3688542252499996
6,150,0.87,Intercept,-0.16206456326871999,0.39299100666508335,-0.92630316,0.6335123802499999
6,150,0.87,groupembodied,0.621341931460375,0.24170446917204738,0.14499111650000002,1.0992023149999997
6,150,0.87,pre_score_z,0.1441495795606801,0.10190907623900644,-0.05613904857499999,0.34263289099999994
6,150,1.39,Intercept,-0.24224153136932025,0.49884554817390725,-1.25784369,0.7413767667499995
6,150,1.39,groupembodied,1.3496374404575,0.26451815592574196,0.8285733205000001,1.8684763674999996
6,150,1.39,pre_score_z,0.1287185337311955,0.12269240464979943,-0.10800322749999999,0.3731378642499999
6,200,0.15,Intercept,0.07332270032592526,0.3553986827478699,-0.65894599175,0.7692109884999998
6,200,0.15,groupembodied,0.4524674528032875,0.20171048306598122,0.05454801585,0.8528035525
6,200,0.15,pre_score_z,0.21274983497358624,0.09692684591614946,0.024776324250000006,0.4077742759999999
6,200,0.4,Intercept,0.0781940665975417,0.4569173450516177,-0.841939864,1.0042836899999996
6,200,0.4,groupembodied,-0.07703213310024191,0.2102715877788408,-0.48709330949999996,0.3390477525
6,200,0.4,pre_score_z,0.1512464794817885,0.09015856880182978,-0.0239559174,0.32794551699999985
6,200,0.87,Intercept,-0.09006535112570525,0.405182131698416,-0.90829568825,0.69507239775
6,200,0.87,groupembodied,1.059224452125125,0.23268688801447576,0.5911713930000001,1.5140203774999996
6,200,0.87,pre_score_z,0.322613912183025,0.09244069741215366,0.14342047824999998,0.5071439972499999
