pid,item_id,group,pre_score_z,correct
P041,1,control,1.814707587775032,0
P041,26,control,1.814707587775032,0
P041,25,control,1.814707587775032,1
P041,19,control,1.814707587775032,0
P042,22,control,-1.092936939653346,0
P042,23,control,-1.092936939653346,0
P042,28,control,-1.092936939653346,0
P042,17,control,-1.092936939653346,0
P042,1,control,-1.092936939653346,0
P042,26,control,-1.092936939653346,0
P042,25,control,-1.092936939653346,0
P042,19,control,-1.092936939653346,0
P040,22,control,-0.6083295184152829,1
P040,23,control,-0.6083295184152829,0
P040,28,control,-0.6083295184152829,0
P040,17,control,-0.6083295184152829,0
P040,1,control,-0.6083295184152829,0
P040,26,control,-0.6083295184152829,0
P040,25,control,-0.6083295184152829,1
P040,19,control,-0.6083295184152829,1
P043,22,control,0.36088532406084306,0
P043,23,control,0.36088532406084306,1
P043,28,control,0.36088532406084306,0
P043,17,control,0.36088532406084306,0
P043,1,control,0.36088532406084306,1
P043,26,control,0.36088532406084306,1
P043,25,control,0.36088532406084306,0
P043,19,control,0.36088532406084306,0
P045,22,embodied,-0.6083295184152829,1
P045,23,embodied,-0.6083295184152829,1
P045,28,embodied,-0.6083295184152829,0
P045,17,embodied,-0.6083295184152829,0
P045,1,embodied,-0.6083295184152829,1
P045,26,embodied,-0.6083295184152829,1
P045,25,embodied,-0.6083295184152829,0
P045,19,embodied,-0.6083295184152829,0
P049,22,embodied,0.36088532406084306,1
P049,23,embodied,0.36088532406084306,1
P049,28,embodied,0.36088532406084306,1
P049,17,embodied,0.36088532406084306,1
P049,1,embodied,0.36088532406084306,0
P049,26,embodied,0.36088532406084306,1
P049,25,embodied,0.36088532406084306,1
P049,19,embodied,0.36088532406084306,1
P048,22,embodied,-0.6083295184152829,1
P048,23,embodied,-0.6083295184152829,0
P048,28,embodied,-0.6083295184152829,1
P048,17,embodied,-0.6083295184152829,1
P048,1,embodied,-0.6083295184152829,1
P048,26,embodied,-0.6083295184152829,0
P048,25,embodied,-0.6083295184152829,0
P048,19,embodied,-0.6083295184152829,1
P050,22,embodied,-0.6083295184152829,1
P050,23,embodied,-0.6083295184152829,1
P050,28,embodied,-0.6083295184152829,1
P050,17,embodied,-0.6083295184152829,0
P050,1,embodied,-0.6083295184152829,0
P050,26,embodied,-0.6083295184152829,1
P050,25,embodied,-0.6083295184152829,1
P050,19,embodied,-0.6083295184152829,0
P053,22,control,-1.092936939653346,1
P053,23,control,-1.092936939653346,1
P053,28,control,-1.092936939653346,0
P053,17,control,-1.092936939653346,0
P053,1,control,-1.092936939653346,1
P053,26,control,-1.092936939653346,1
P053,25,control,-1.092936939653346,0
P053,19,control,-1.092936939653346,0
P054,22,embodied,0.36088532406084306,1
P054,23,embodied,0.36088532406084306,1
P054,28,embodied,0.36088532406084306,0
P054,17,embodied,0.36088532406084306,1
P054,1,embodied,0.36088532406084306,1
P054,26,embodied,0.36088532406084306,1
P054,25,embodied,0.36088532406084306,1
P054,19,embodied,0.36088532406084306,0
P057,22,control,-0.6083295184152829,1
P057,23,control,-0.6083295184152829,1
P057,28,control,-0.6083295184152829,1
P057,17,control,-0.6083295184152829,0
P057,1,control,-0.6083295184152829,1
P057,26,control,-0.6083295184152829,1
P057,25,control,-0.6083295184152829,1
P057,19,control,-0.6083295184152829,1
P067,22,control,2.299315009013095,0
P067,23,control,2.299315009013095,1
P067,28,control,2.299315009013095,0
P067,17,control,2.299315009013095,0
P067,1,control,2.299315009013095,0
P067,26,control,2.299315009013095,0
P067,25,control,2.299315009013095,1
P067,19,control,2.299315009013095,0
P060,22,embodied,2.783922430251158,1
P060,23,embodied,2.783922430251158,1
P060,28,embodied,2.783922430251158,0
P060,17,embodied,2.783922430251158,0
P060,1,embodied,2.783922430251158,1
P060,26,embodied,2.783922430251158,1
P060,25,embodied,2.783922430251158,0
P060,19,embodied,2.783922430251158,0
P062,22,control,-1.092936939653346,1
P062,23,control,-1.092936939653346,1
P062,28,control,-1.092936939653346,1
P062,17,control,-1.092936939653346,0
P062,1,control,-1.092936939653346,1
P062,26,control,-1.092936939653346,1
P062,25,control,-1.092936939653346,1
P062,19,control,-1.092936939653346,1
P063,22,control,-0.6083295184152829,1
P063,23,control,-0.6083295184152829,1
P063,28,control,-0.6083295184152829,1
P063,17,control,-0.6083295184152829,0
P063,1,control,-0.6083295184152829,1
P063,26,control,-0.6083295184152829,1
P063,25,control,-0.6083295184152829,1
P063,19,control,-0.6083295184152829,1
P064,22,embodied,-1.5775443608914088,1
P064,23,embodied,-1.5775443608914088,1
P064,28,embodied,-1.5775443608914088,0
P064,17,embodied,-1.5775443608914088,0
P064,1,embodied,-1.5775443608914088,0
P064,26,embodied,-1.5775443608914088,1
P064,25,embodied,-1.5775443608914088,0
P064,19,embodied,-1.5775443608914088,0
P065,22,control,-0.12372209717721992,0
P065,23,control,-0.12372209717721992,1
P065,28,control,-0.12372209717721992,1
P065,17,control,-0.12372209717721992,0
P065,1,control,-0.12372209717721992,0
P065,26,control,-0.12372209717721992,0
P065,25,control,-0.12372209717721992,0
P065,19,control,-0.12372209717721992,1
P066,22,embodied,-0.12372209717721992,1
P066,23,embodied,-0.12372209717721992,0
P066,28,embodied,-0.12372209717721992,0
P066,17,embodied,-0.12372209717721992,0
P066,1,embodied,-0.12372209717721992,0
P066,26,embodied,-0.12372209717721992,1
P066,25,embodied,-0.12372209717721992,1
P066,19,embodied,-0.12372209717721992,0
P070,22,embodied,2.299315009013095,1
P070,23,embodied,2.299315009013095,1
P070,28,embodied,2.299315009013095,0
P070,17,embodied,2.299315009013095,0
P070,1,embodied,2.299315009013095,1
P070,26,embodied,2.299315009013095,1
P070,25,embodied,2.299315009013095,0
P070,19,embodied,2.299315009013095,1
P072,22,embodied,-0.6083295184152829,1
P072,23,embodied,-0.6083295184152829,1
P072,28,embodied,-0.6083295184152829,0
P072,17,embodied,-0.6083295184152829,0
P072,1,embodied,-0.6083295184152829,1
P072,26,embodied,-0.6083295184152829,1
P072,25,embodied,-0.6083295184152829,0
P072,19,embodied,-0.6083295184152829,0
P073,22,embodied,-0.12372209717721992,1
P073,23,embodied,-0.12372209717721992,0
P073,28,embodied,-0.12372209717721992,0
P073,17,embodied,-0.12372209717721992,0
P073,1,embodied,-0.12372209717721992,0
P073,26,embodied,-0.12372209717721992,1
P073,25,embodied,-0.12372209717721992,1
P073,19,embodied,-0.12372209717721992,0
P075,22,embodied,0.36088532406084306,1
P075,23,embodied,0.36088532406084306,1
P075,28,embodied,0.36088532406084306,1
P075,17,embodied,0.36088532406084306,1
P075,1,embodied,0.36088532406084306,1
P075,26,embodied,0.36088532406084306,1
P075,25,embodied,0.36088532406084306,1
P075,19,embodied,0.36088532406084306,1
P074,22,control,-1.092936939653346,1
P074,23,control,-1.092936939653346,1
P074,28,control,-1.092936939653346,0
P074,17,control,-1.092936939653346,0
P074,1,control,-1.092936939653346,1
P074,26,control,-1.092936939653346,1
P074,25,control,-1.092936939653346,1
P074,19,control,-1.092936939653346,1
P071,22,control,-2.062151782129472,0
P071,23,control,-2.062151782129472,1
P071,28,control,-2.062151782129472,0
P071,17,control,-2.062151782129472,0
P071,1,control,-2.062151782129472,0
P071,26,control,-2.062151782129472,1
P071,25,control,-2.062151782129472,1
P071,19,control,-2.062151782129472,0
P078,22,control,0.36088532406084306,1
P078,23,control,0.36088532406084306,1
P078,28,control,0.36088532406084306,1
P078,17,control,0.36088532406084306,0
P078,1,control,0.36088532406084306,0
P078,26,control,0.36088532406084306,1
P078,25,control,0.36088532406084306,1
P078,19,control,0.36088532406084306,1
P139,22,embodied,-1.092936939653346,0
P139,23,embodied,-1.092936939653346,1
P139,28,embodied,-1.092936939653346,0
P139,17,embodied,-1.092936939653346,0
P139,1,embodied,-1.092936939653346,0
P139,26,embodied,-1.092936939653346,1
P139,25,embodied,-1.092936939653346,1
P139,19,embodied,-1.092936939653346,0
P141,22,embodied,1.814707587775032,1
P141,23,embodied,1.814707587775032,1
P141,28,embodied,1.814707587775032,1
P141,17,embodied,1.814707587775032,1
P141,1,embodied,1.814707587775032,1
P141,26,embodied,1.814707587775032,0
P141,25,embodied,1.814707587775032,1
P141,19,embodied,1.814707587775032,1
P080,22,embodied,-0.12372209717721992,1
P080,23,embodied,-0.12372209717721992,0
P080,28,embodied,-0.12372209717721992,0
P080,17,embodied,-0.12372209717721992,0
P080,1,embodied,-0.12372209717721992,1
P080,26,embodied,-0.12372209717721992,1
P080,25,embodied,-0.12372209717721992,1
P080,19,embodied,-0.12372209717721992,0
P083,22,embodied,1.814707587775032,1
P083,23,embodied,1.814707587775032,1
P083,28,embodied,1.814707587775032,1
P083,17,embodied,1.814707587775032,0
P083,1,embodied,1.814707587775032,1
P083,26,embodied,1.814707587775032,1
P083,25,embodied,1.814707587775032,1
P083,19,embodied,1.814707587775032,1
P084,22,control,2.783922430251158,1
P084,23,control,2.783922430251158,1
P084,28,control,2.783922430251158,1
P084,17,control,2.783922430251158,1
P084,1,control,2.783922430251158,1
P084,26,control,2.783922430251158,1
P084,25,control,2.783922430251158,1
P084,19,control,2.783922430251158,1
P085,22,embodied,-1.092936939653346,1
P085,23,embodied,-1.092936939653346,0
P085,28,embodied,-1.092936939653346,0
P085,17,embodied,-1.092936939653346,0
P085,1,embodied,-1.092936939653346,1
P085,26,embodied,-1.092936939653346,1
P085,25,embodied,-1.092936939653346,0
P085,19,embodied,-1.092936939653346,1
P086,22,control,-0.12372209717721992,1
P086,23,control,-0.12372209717721992,1
P086,28,control,-0.12372209717721992,0
P086,17,control,-0.12372209717721992,0
P086,1,control,-0.12372209717721992,1
P086,26,control,-0.12372209717721992,1
P086,25,control,-0.12372209717721992,1
P086,19,control,-0.12372209717721992,1
P087,22,embodied,0.36088532406084306,0
P087,23,embodied,0.36088532406084306,1
P087,28,embodied,0.36088532406084306,0
P087,17,embodied,0.36088532406084306,0
P087,1,embodied,0.36088532406084306,1
P087,26,embodied,0.36088532406084306,1
P087,25,embodied,0.36088532406084306,0
P087,19,embodied,0.36088532406084306,0
P089,22,control,-0.6083295184152829,1
P089,23,control,-0.6083295184152829,1
P089,28,control,-0.6083295184152829,0
P089,17,control,-0.6083295184152829,0
P089,1,control,-0.6083295184152829,1
P089,26,control,-0.6083295184152829,0
P089,25,control,-0.6083295184152829,0
P089,19,control,-0.6083295184152829,1
P091,22,control,0.8454927452989061,1
P091,23,control,0.8454927452989061,1
P091,28,control,0.8454927452989061,0
P091,17,control,0.8454927452989061,0
P091,1,control,0.8454927452989061,1
P091,26,control,0.8454927452989061,1
P091,25,control,0.8454927452989061,0
P091,19,control,0.8454927452989061,0
P092,22,embodied,-0.6083295184152829,0
P092,23,embodied,-0.6083295184152829,1
P092,28,embodied,-0.6083295184152829,0
